Area_sqft,Bedrooms,Bathrooms,Age_years,Locality,Parking_spaces,Furnished_status,Metro_nearby,Floor,Total_floors,Price_lakhs
869,3,3,11.8,Shahdara,2,Semi-Furnished,1,17,18,39.89
1458,3,3,1.2,Khan Market,1,Semi-Furnished,0,7,7,381.13
1344,3,3,2.8,Dwarka,2,Furnished,0,10,19,182.06
1251,2,2,6.9,Rohini,0,Unfurnished,0,1,1,80.02
1347,2,2,18.2,Defence Colony,1,Furnished,1,1,2,202.59
988,2,1,1.0,Rajouri Garden,1,Furnished,0,3,4,107.76
920,4,4,0.5,Greater Kailash,2,Semi-Furnished,0,1,2,220.64
1186,3,3,10.2,Vikaspuri,0,Unfurnished,1,11,17,72.38
811,3,3,2.2,Vasant Vihar,0,Semi-Furnished,1,1,1,160.59
576,2,2,3.5,Rajouri Garden,1,Unfurnished,1,8,11,64.61
1792,2,2,18.4,Khan Market,0,Semi-Furnished,0,6,19,292.47
1118,4,3,13.1,Rajouri Garden,0,Semi-Furnished,1,6,20,92.0
1356,4,4,2.4,South Extension,1,Furnished,1,3,10,304.68
1028,5,5,1.8,Ghaziabad,0,Unfurnished,1,1,3,44.85
1506,2,2,3.7,Dwarka,1,Semi-Furnished,0,4,13,138.17
1534,3,3,5.1,Defence Colony,1,Furnished,1,14,20,352.2
997,4,4,0.4,Karol Bagh,2,Furnished,1,5,16,168.95
1417,3,3,16.8,Shahdara,2,Semi-Furnished,0,6,8,58.36
400,3,3,4.0,Khan Market,1,Furnished,1,1,1,127.74
1266,2,1,12.6,Connaught Place,1,Furnished,1,1,1,304.24
763,3,2,6.7,Dwarka,1,Furnished,0,4,9,70.92
2103,3,3,5.3,Greater Kailash,1,Semi-Furnished,1,4,13,420.0
1487,4,4,3.4,South Extension,1,Semi-Furnished,1,1,1,343.22
1272,3,2,16.5,Pitampura,0,Furnished,1,1,1,116.17
1682,2,1,0.6,Vikaspuri,2,Furnished,1,1,1,161.39
1222,3,3,0.5,Rajouri Garden,0,Furnished,1,1,1,192.86
1621,4,4,5.2,Preet Vihar,1,Unfurnished,1,1,2,89.69
400,4,4,7.0,Shahdara,1,Unfurnished,1,1,1,20.27
880,5,5,7.2,Janakpuri,1,Semi-Furnished,1,5,5,81.15
627,4,4,2.8,Dilshad Garden,1,Semi-Furnished,1,6,6,37.08
1057,2,1,11.2,Dwarka,0,Semi-Furnished,1,1,1,89.28
1394,3,2,2.0,Karol Bagh,0,Furnished,0,8,12,176.83
1104,3,3,14.2,Greater Kailash,2,Unfurnished,1,2,4,175.22
1330,3,3,13.6,Ghaziabad,1,Furnished,0,1,1,34.7
1010,3,3,15.8,Defence Colony,2,Furnished,0,14,17,199.82
666,3,3,10.8,Khan Market,1,Unfurnished,0,4,17,114.87
1641,4,4,13.5,Rajouri Garden,0,Semi-Furnished,1,7,16,193.07
840,3,3,8.0,Lajpat Nagar,1,Furnished,1,14,15,118.41
1061,3,3,3.9,Karol Bagh,1,Furnished,1,6,11,172.32
2033,4,4,1.9,Greater Kailash,1,Unfurnished,1,13,17,457.3
1350,3,3,3.5,Connaught Place,1,Semi-Furnished,1,1,2,339.8
1077,4,4,12.5,Preet Vihar,0,Semi-Furnished,1,5,14,51.13
1522,3,3,18.7,Pitampura,0,Furnished,1,1,1,112.11
1372,2,2,19.8,Vikaspuri,0,Semi-Furnished,0,1,1,55.88
1743,3,2,4.9,Dwarka,1,Semi-Furnished,0,2,10,151.46
1232,3,3,6.8,Preet Vihar,1,Semi-Furnished,1,2,9,72.11
1485,3,3,3.5,Preet Vihar,1,Semi-Furnished,1,15,17,91.75
878,2,2,10.5,Preet Vihar,0,Unfurnished,0,2,4,30.54
563,4,3,0.9,Greater Kailash,0,Furnished,1,1,1,159.1
1594,4,4,7.6,Lajpat Nagar,2,Unfurnished,1,5,12,238.89
1149,1,1,14.0,Vasant Vihar,0,Furnished,1,17,19,152.06
1051,3,3,1.3,Defence Colony,0,Unfurnished,1,5,11,206.44
955,4,4,15.9,Rajouri Garden,1,Furnished,1,3,3,101.73
1218,5,4,18.0,Janakpuri,2,Semi-Furnished,1,10,11,82.2
1946,3,3,10.6,Dilshad Garden,2,Unfurnished,0,1,1,71.2
732,4,3,9.6,Lajpat Nagar,2,Furnished,1,10,18,118.75
1052,3,2,13.6,Vikaspuri,1,Unfurnished,0,1,1,47.87
1461,2,2,0.1,Janakpuri,1,Unfurnished,1,2,9,89.55
1684,4,3,22.1,Greater Kailash,0,Unfurnished,1,1,1,180.93
476,3,2,16.4,Paschim Vihar,2,Semi-Furnished,0,7,15,25.31
1655,2,1,1.4,Khan Market,2,Semi-Furnished,1,1,1,410.18
1459,2,1,9.1,Rohini,0,Furnished,0,5,7,125.15
461,2,2,11.0,Defence Colony,0,Semi-Furnished,0,16,17,65.93
714,2,1,1.3,Vikaspuri,1,Unfurnished,1,4,4,51.1
1279,3,3,1.0,Preet Vihar,1,Unfurnished,1,2,2,78.99
1251,2,2,3.0,Janakpuri,0,Semi-Furnished,1,6,6,89.73
1609,4,4,0.3,Dilshad Garden,0,Unfurnished,1,1,1,68.79
2161,3,3,0.1,Connaught Place,1,Unfurnished,0,1,1,514.19
1128,2,2,9.4,Shahdara,2,Unfurnished,1,3,19,46.07
1284,3,3,2.8,Pitampura,2,Semi-Furnished,1,3,5,143.04
2046,3,3,12.3,Defence Colony,0,Unfurnished,1,12,14,346.1
939,4,4,29.8,Greater Kailash,1,Furnished,1,1,1,102.61
676,3,3,0.7,Dilshad Garden,1,Unfurnished,0,1,3,30.56
1360,3,3,3.4,Pitampura,1,Semi-Furnished,1,9,9,137.0
1874,3,3,18.5,South Extension,1,Furnished,0,3,5,212.29
1791,3,2,10.1,Mayur Vihar,1,Semi-Furnished,0,5,9,99.7
1190,2,2,4.7,Lajpat Nagar,1,Semi-Furnished,0,1,6,158.53
1619,1,1,7.3,Greater Kailash,2,Semi-Furnished,0,1,1,249.97
1231,2,2,4.5,Ghaziabad,1,Furnished,0,4,5,36.9
1071,4,4,7.0,Paschim Vihar,1,Semi-Furnished,0,9,20,82.5
1491,1,1,4.8,Vasant Vihar,0,Semi-Furnished,1,2,6,223.81
1256,4,4,5.8,Shahdara,1,Semi-Furnished,0,1,1,65.67
907,2,2,1.4,South Extension,2,Unfurnished,1,11,17,165.04
1188,3,3,6.8,Pitampura,0,Furnished,1,5,11,135.35
1536,2,1,7.4,Rajouri Garden,2,Furnished,1,1,1,225.12
958,3,3,20.8,Dilshad Garden,2,Furnished,1,3,7,32.7
612,3,3,8.0,Lajpat Nagar,1,Unfurnished,1,1,11,69.88
1079,3,2,8.2,Khan Market,1,Unfurnished,1,6,9,230.07
548,3,3,6.4,Vikaspuri,1,Furnished,0,1,1,39.81
1099,4,3,21.8,Dilshad Garden,0,Semi-Furnished,0,3,3,29.76
1223,3,2,10.1,Khan Market,0,Semi-Furnished,0,1,1,240.41
812,3,3,0.9,Dwarka,0,Furnished,1,1,1,105.69
1015,3,2,0.0,Rajouri Garden,1,Semi-Furnished,0,2,5,135.96
1090,2,2,2.6,Dilshad Garden,2,Semi-Furnished,1,10,15,56.79
2089,2,2,15.9,Preet Vihar,0,Unfurnished,0,1,1,56.19
669,3,2,1.2,Defence Colony,1,Semi-Furnished,1,1,7,172.79
1428,2,1,0.7,Connaught Place,1,Semi-Furnished,0,4,5,396.88
1695,3,2,8.2,Karol Bagh,2,Semi-Furnished,1,3,4,225.92
600,5,5,3.2,Pitampura,0,Furnished,1,7,15,61.64
834,3,3,3.4,Pitampura,2,Semi-Furnished,0,1,1,73.93
1546,2,2,0.8,Shahdara,1,Furnished,1,4,9,101.7
772,2,1,22.1,Rajouri Garden,1,Furnished,0,18,19,46.49
1535,3,3,15.3,Dwarka,1,Unfurnished,1,8,12,119.9
1910,2,2,13.7,Paschim Vihar,1,Unfurnished,1,4,5,92.85
1485,3,3,3.0,Vikaspuri,0,Furnished,1,3,4,126.68
774,2,1,0.2,Paschim Vihar,2,Semi-Furnished,1,5,7,57.27
1490,1,1,7.4,Dilshad Garden,1,Semi-Furnished,0,2,2,46.2
975,2,2,0.9,Mayur Vihar,1,Semi-Furnished,1,1,2,58.56
586,3,3,4.4,Vasant Vihar,2,Semi-Furnished,0,4,5,114.62
673,2,2,2.3,South Extension,0,Furnished,0,1,9,100.31
1574,3,2,0.5,Greater Kailash,1,Unfurnished,1,8,8,318.83
1189,2,2,10.7,Karol Bagh,2,Semi-Furnished,1,2,6,120.99
932,3,3,2.4,Dwarka,2,Unfurnished,1,7,16,115.18
1497,3,3,0.6,Janakpuri,0,Semi-Furnished,1,13,13,135.14
1637,2,1,5.7,Karol Bagh,1,Unfurnished,0,7,15,177.51
956,3,3,14.2,Karol Bagh,0,Unfurnished,0,8,20,91.41
1443,2,2,1.0,Greater Kailash,1,Semi-Furnished,1,1,1,356.64
1782,3,3,8.5,Rohini,0,Unfurnished,1,1,1,169.42
1544,2,1,2.6,Ghaziabad,0,Unfurnished,1,3,12,40.58
715,4,4,6.3,Janakpuri,0,Furnished,1,7,10,75.45
784,3,3,22.2,Janakpuri,0,Unfurnished,1,15,16,36.96
722,2,2,11.4,Connaught Place,1,Unfurnished,1,7,13,143.67
1601,3,2,6.5,Karol Bagh,0,Semi-Furnished,1,1,1,210.19
1715,2,2,10.6,Lajpat Nagar,1,Semi-Furnished,0,4,9,183.15
620,2,2,16.7,Vasant Vihar,0,Unfurnished,1,6,15,64.54
520,3,3,0.0,South Extension,0,Unfurnished,0,4,6,90.88
1917,2,2,9.7,Khan Market,1,Semi-Furnished,0,3,4,345.3
1646,3,3,5.8,Mayur Vihar,1,Unfurnished,1,1,2,85.4
1392,3,3,21.6,Janakpuri,0,Semi-Furnished,1,1,1,61.67
1540,5,5,6.7,Dwarka,1,Unfurnished,0,13,16,163.23
1372,3,2,15.3,Dilshad Garden,1,Semi-Furnished,1,5,7,51.25
1564,1,1,19.2,Greater Kailash,1,Unfurnished,1,1,1,204.63
1506,5,4,0.5,Lajpat Nagar,0,Furnished,0,2,3,301.57
1664,2,1,15.3,Rohini,0,Furnished,0,1,9,100.11
1132,2,2,6.4,Paschim Vihar,2,Unfurnished,1,14,15,66.91
1518,2,2,5.0,Pitampura,1,Unfurnished,0,2,2,90.34
1306,3,3,2.1,Rohini,0,Semi-Furnished,1,1,1,125.89
771,2,2,15.2,Khan Market,0,Furnished,1,12,14,102.75
1208,4,4,0.4,Preet Vihar,0,Unfurnished,0,2,4,58.32
1343,2,2,23.4,Karol Bagh,2,Furnished,0,1,1,93.17
1553,3,3,0.9,Ghaziabad,1,Unfurnished,0,3,7,52.69
1245,2,2,6.9,Karol Bagh,1,Unfurnished,1,4,9,122.27
708,3,3,18.2,Rohini,2,Unfurnished,0,1,1,42.78
1319,2,2,7.6,Dilshad Garden,2,Furnished,1,13,20,67.03
775,4,4,1.4,Vasant Vihar,1,Semi-Furnished,1,5,18,186.2
1394,2,2,35.4,Khan Market,2,Semi-Furnished,0,3,8,93.98
1228,2,1,0.7,Connaught Place,0,Unfurnished,0,2,7,266.55
743,3,3,13.1,Paschim Vihar,0,Unfurnished,1,1,1,44.3
831,3,3,0.6,Defence Colony,1,Semi-Furnished,0,1,2,194.16
999,3,3,2.1,Rajouri Garden,1,Semi-Furnished,0,2,18,124.9
518,4,4,3.8,Vikaspuri,1,Unfurnished,1,1,1,31.23
1416,4,4,7.8,Rajouri Garden,1,Furnished,0,14,17,187.43
1048,1,1,0.4,Connaught Place,1,Unfurnished,1,3,4,234.91
1462,1,1,16.8,Vikaspuri,1,Furnished,1,1,9,84.79
977,2,2,6.8,Vasant Vihar,0,Unfurnished,1,9,14,123.32
1306,4,4,6.8,Janakpuri,1,Unfurnished,1,7,8,109.46
1554,3,3,8.0,Ghaziabad,1,Semi-Furnished,1,1,1,57.68
1491,5,5,2.5,Rajouri Garden,1,Semi-Furnished,0,1,3,182.94
1242,4,4,5.1,Janakpuri,1,Unfurnished,1,1,3,98.93
1118,1,1,0.3,Connaught Place,1,Furnished,1,6,9,316.4
1136,1,1,1.0,Dilshad Garden,2,Semi-Furnished,0,3,13,48.42
1503,2,2,10.5,Karol Bagh,2,Semi-Furnished,1,1,4,177.04
1475,1,1,14.2,Preet Vihar,1,Semi-Furnished,0,4,6,53.55
845,3,3,0.6,Dilshad Garden,1,Furnished,1,2,13,43.44
1293,3,2,1.0,Lajpat Nagar,2,Semi-Furnished,0,6,18,221.94
1424,3,3,0.7,Paschim Vihar,0,Unfurnished,1,1,5,103.08
1133,4,4,0.6,Rajouri Garden,1,Furnished,1,3,16,173.07
2076,3,2,17.6,Greater Kailash,1,Semi-Furnished,1,1,1,280.13
1038,3,3,3.3,Dwarka,1,Semi-Furnished,0,1,1,103.2
527,3,3,3.6,Ghaziabad,1,Semi-Furnished,0,1,1,16.86
1211,2,1,1.9,Rohini,1,Unfurnished,0,15,15,97.48
762,4,4,3.8,Defence Colony,2,Semi-Furnished,1,13,20,209.17
770,1,1,11.9,Vasant Vihar,0,Semi-Furnished,1,11,15,107.57
1027,4,4,1.6,Vikaspuri,1,Unfurnished,1,1,10,88.02
771,3,3,5.4,Dilshad Garden,1,Semi-Furnished,0,4,4,31.74
708,2,1,5.2,Greater Kailash,2,Unfurnished,1,6,11,144.5
1634,2,2,1.1,Preet Vihar,1,Semi-Furnished,0,19,20,82.27
1351,3,3,7.1,Greater Kailash,0,Unfurnished,1,3,6,246.66
1111,3,3,4.9,Dilshad Garden,1,Semi-Furnished,1,7,8,54.35
1666,4,3,17.2,Vasant Vihar,1,Semi-Furnished,1,1,1,248.92
1983,3,3,1.2,Mayur Vihar,2,Unfurnished,1,3,9,126.83
986,1,1,14.4,Connaught Place,0,Unfurnished,1,9,16,172.19
1434,3,2,5.3,Vikaspuri,0,Semi-Furnished,0,4,4,95.66
1243,4,3,24.8,South Extension,0,Unfurnished,1,16,16,111.98
734,3,3,1.9,Khan Market,0,Furnished,1,3,6,205.16
1224,4,4,2.0,Janakpuri,1,Unfurnished,1,1,1,105.55
1203,3,3,7.8,Ghaziabad,1,Semi-Furnished,1,1,2,48.19
1295,3,2,11.9,Shahdara,1,Unfurnished,1,15,16,60.32
950,2,2,0.5,Shahdara,1,Unfurnished,1,1,1,47.73
1274,4,4,19.0,Dilshad Garden,1,Furnished,0,5,20,38.12
1495,4,4,1.2,Rohini,1,Furnished,1,15,19,198.46
2096,5,4,5.5,Lajpat Nagar,1,Semi-Furnished,1,2,2,356.32
1085,3,3,10.2,Rajouri Garden,1,Semi-Furnished,1,1,2,123.34
1469,2,2,29.4,Pitampura,1,Semi-Furnished,0,11,18,50.54
982,2,2,2.5,Dwarka,0,Unfurnished,0,1,1,77.13
1109,3,3,6.1,Ghaziabad,0,Semi-Furnished,1,6,9,36.79
1092,2,2,1.1,Pitampura,0,Unfurnished,1,2,16,97.14
1096,2,2,10.7,Lajpat Nagar,1,Unfurnished,0,4,4,94.42
1611,3,3,14.2,Karol Bagh,0,Unfurnished,1,13,14,154.25
1159,3,3,0.5,Karol Bagh,2,Furnished,1,6,10,173.74
696,2,1,7.8,Dwarka,1,Unfurnished,1,4,9,57.03
1832,2,2,20.0,Paschim Vihar,0,Semi-Furnished,1,9,19,68.92
764,5,5,2.2,Vikaspuri,0,Unfurnished,1,2,8,58.92
1132,3,3,5.3,Janakpuri,0,Furnished,1,11,16,88.56
1847,2,2,5.5,Pitampura,0,Semi-Furnished,1,1,1,133.19
1265,2,2,19.1,Khan Market,1,Unfurnished,1,8,20,185.78
1166,3,3,8.2,Lajpat Nagar,1,Furnished,1,12,17,164.06
1447,2,2,2.0,Karol Bagh,2,Semi-Furnished,0,1,7,168.89
1554,1,1,1.3,Khan Market,2,Unfurnished,1,4,5,329.31
1166,2,2,39.1,Ghaziabad,1,Semi-Furnished,1,13,18,9.65
1395,2,2,1.3,Janakpuri,0,Semi-Furnished,1,5,10,123.35
1847,2,2,18.0,Lajpat Nagar,2,Semi-Furnished,1,4,16,203.66
620,3,2,3.2,Lajpat Nagar,0,Semi-Furnished,0,3,4,82.78
400,4,4,3.2,Khan Market,1,Unfurnished,1,1,9,98.06
489,3,2,1.1,Rajouri Garden,0,Semi-Furnished,1,1,1,64.88
765,2,1,10.5,Pitampura,0,Semi-Furnished,1,5,17,50.11
1545,2,2,18.6,Greater Kailash,2,Furnished,0,1,11,216.47
684,3,2,2.5,Rajouri Garden,0,Semi-Furnished,1,4,5,70.09
830,3,3,9.9,Dilshad Garden,1,Furnished,1,7,13,39.68
1526,3,3,15.8,Preet Vihar,0,Unfurnished,0,2,2,50.48
1623,3,3,5.5,Defence Colony,1,Semi-Furnished,0,17,18,348.89
1176,2,2,13.6,Connaught Place,2,Unfurnished,1,6,14,242.56
1368,4,4,7.8,Khan Market,2,Semi-Furnished,1,3,3,348.64
1685,4,3,9.0,Connaught Place,1,Unfurnished,0,1,5,364.97
1155,4,4,2.3,Connaught Place,0,Semi-Furnished,1,2,4,365.76
999,5,5,10.6,Vikaspuri,1,Furnished,1,18,20,76.38
1189,5,4,6.3,Rajouri Garden,1,Semi-Furnished,1,4,5,161.04
1269,3,3,8.0,Dwarka,1,Unfurnished,1,1,1,109.04
1906,3,2,6.4,Khan Market,1,Unfurnished,1,6,7,383.03
751,3,3,23.5,Dwarka,1,Unfurnished,1,1,1,39.78
1439,2,1,7.9,Janakpuri,1,Unfurnished,1,4,19,111.3
1503,3,3,8.7,Dwarka,0,Semi-Furnished,0,9,14,145.1
558,3,3,0.1,Preet Vihar,1,Semi-Furnished,1,1,1,34.48
1624,1,1,0.2,Connaught Place,0,Unfurnished,0,1,1,327.02
1882,3,3,0.7,Mayur Vihar,1,Furnished,0,7,8,115.62
640,3,3,10.7,Vikaspuri,0,Furnished,1,1,1,46.03
961,4,4,15.7,Shahdara,1,Semi-Furnished,1,2,2,47.51
1199,3,2,12.3,Shahdara,2,Unfurnished,1,1,1,58.72
1210,1,1,21.0,Paschim Vihar,0,Semi-Furnished,0,6,6,30.32
1088,1,1,8.7,Lajpat Nagar,1,Furnished,1,1,16,132.23
766,3,3,3.5,Ghaziabad,2,Furnished,0,5,16,28.58
742,3,3,16.7,Rajouri Garden,0,Furnished,0,5,9,54.28
1569,4,4,4.6,Rajouri Garden,0,Semi-Furnished,0,7,13,187.52
1838,4,4,12.5,Connaught Place,1,Semi-Furnished,1,10,18,436.63
1648,2,2,3.0,Lajpat Nagar,0,Unfurnished,0,2,2,220.02
1303,3,3,16.4,Defence Colony,1,Semi-Furnished,0,3,9,201.91
2095,1,1,9.5,Lajpat Nagar,0,Semi-Furnished,0,1,6,221.79
1637,5,5,7.6,Rohini,0,Semi-Furnished,1,10,12,187.32
1312,4,4,14.8,Dilshad Garden,0,Unfurnished,1,3,9,53.47
880,2,2,18.6,Mayur Vihar,0,Unfurnished,1,1,1,30.35
1465,3,3,4.8,Janakpuri,2,Semi-Furnished,1,3,10,140.71
946,2,1,3.7,Ghaziabad,0,Unfurnished,1,2,6,25.3
1116,1,1,11.9,Paschim Vihar,0,Semi-Furnished,1,7,10,65.88
1651,1,1,10.0,Lajpat Nagar,1,Unfurnished,0,1,1,164.33
1456,3,3,15.3,Dwarka,1,Semi-Furnished,1,3,6,106.24
1356,4,4,10.3,Rohini,0,Unfurnished,1,2,6,93.86
1426,3,3,6.1,Defence Colony,2,Semi-Furnished,0,1,3,293.71
795,3,3,8.7,Paschim Vihar,2,Semi-Furnished,1,10,15,58.36
820,3,2,2.4,South Extension,1,Furnished,1,2,12,183.74
1058,2,2,10.7,Lajpat Nagar,2,Furnished,1,2,2,173.14
2180,2,2,26.0,Rohini,1,Furnished,1,4,4,104.4
787,2,2,0.0,Defence Colony,1,Furnished,1,3,10,232.57
1908,2,2,7.3,Rohini,2,Unfurnished,1,1,2,152.94
1080,4,4,22.5,Vikaspuri,0,Semi-Furnished,1,2,13,35.32
992,3,3,0.6,Dilshad Garden,1,Furnished,1,1,1,56.27
1237,3,3,0.5,Shahdara,1,Semi-Furnished,1,6,17,71.47
808,3,2,6.8,South Extension,1,Unfurnished,1,1,1,164.59
1851,1,1,19.8,Ghaziabad,2,Furnished,1,1,2,50.23
1685,4,3,1.8,Vasant Vihar,2,Semi-Furnished,1,7,8,368.22
1022,2,2,4.0,Preet Vihar,2,Furnished,0,2,6,54.78
723,3,2,22.8,Ghaziabad,1,Semi-Furnished,1,1,1,16.44
1035,3,3,0.2,Dwarka,0,Unfurnished,1,1,1,102.77
1438,2,2,16.0,Khan Market,2,Semi-Furnished,1,1,1,246.69
1805,2,2,0.0,Preet Vihar,1,Furnished,0,5,14,103.12
726,3,3,8.8,Karol Bagh,1,Unfurnished,0,1,1,56.4
1807,4,3,5.9,Janakpuri,1,Semi-Furnished,1,7,17,172.12
1282,2,2,4.3,Karol Bagh,0,Furnished,0,9,10,144.91
1639,3,3,21.5,Janakpuri,1,Unfurnished,1,1,1,80.84
837,2,2,2.7,South Extension,2,Semi-Furnished,0,3,5,122.72
1695,3,3,35.7,Rajouri Garden,0,Semi-Furnished,1,4,11,59.2
1414,3,2,4.9,Paschim Vihar,0,Unfurnished,0,14,19,85.44
1481,3,3,0.1,Mayur Vihar,1,Furnished,1,13,13,111.19
990,4,3,0.2,Mayur Vihar,1,Semi-Furnished,1,10,18,85.07
1027,3,3,15.3,Rajouri Garden,2,Unfurnished,0,1,7,79.8
1029,3,3,1.7,Pitampura,1,Furnished,0,11,15,79.26
737,3,3,14.4,South Extension,1,Unfurnished,1,1,7,95.45
954,2,2,2.8,Karol Bagh,2,Unfurnished,1,6,13,104.93
1549,3,3,3.5,Preet Vihar,0,Furnished,0,9,14,73.23
875,3,3,1.2,Connaught Place,0,Furnished,1,16,20,220.31
645,2,2,9.9,Vikaspuri,1,Furnished,0,1,1,38.23
675,2,2,1.0,Mayur Vihar,1,Semi-Furnished,1,1,2,45.77
1573,4,4,3.0,Mayur Vihar,0,Unfurnished,0,1,5,80.81
1291,2,2,1.0,Paschim Vihar,2,Unfurnished,1,8,12,90.38
1249,4,4,10.6,Greater Kailash,1,Unfurnished,1,3,9,213.85
1757,4,3,2.3,Vasant Vihar,0,Unfurnished,0,1,1,233.01
630,4,4,9.6,Dilshad Garden,1,Semi-Furnished,0,1,1,25.78
502,4,4,32.9,Rajouri Garden,0,Furnished,0,1,1,24.48
598,5,5,1.2,Dwarka,1,Furnished,1,5,8,91.75
1005,1,1,1.4,South Extension,1,Semi-Furnished,1,1,2,171.12
1292,3,3,2.6,Defence Colony,0,Semi-Furnished,0,2,7,222.65
1189,3,2,8.5,Shahdara,1,Furnished,1,2,2,61.67
1307,4,4,0.6,Dilshad Garden,0,Semi-Furnished,1,1,1,62.32
945,4,4,4.7,Greater Kailash,1,Semi-Furnished,1,1,1,181.55
719,2,2,0.3,Janakpuri,0,Semi-Furnished,1,1,1,57.27
849,4,3,5.0,Lajpat Nagar,1,Semi-Furnished,1,2,15,119.97
734,4,4,0.1,Vikaspuri,0,Furnished,1,7,7,54.68
2140,2,2,3.1,Defence Colony,2,Semi-Furnished,1,1,4,368.46
854,3,3,23.5,Ghaziabad,1,Semi-Furnished,1,9,15,22.52
1860,3,2,22.3,Dwarka,1,Unfurnished,0,9,10,106.76
1069,3,3,18.3,Vikaspuri,1,Unfurnished,0,4,12,45.64
968,2,2,23.7,Lajpat Nagar,0,Unfurnished,1,10,19,70.11
1137,4,4,23.5,Pitampura,1,Unfurnished,1,4,5,61.03
1217,2,2,2.5,Lajpat Nagar,0,Semi-Furnished,0,1,1,159.2
735,2,2,2.4,Karol Bagh,2,Unfurnished,1,4,5,92.67
797,2,2,16.4,Vasant Vihar,1,Semi-Furnished,1,10,10,94.51
932,4,4,10.6,Greater Kailash,1,Unfurnished,0,14,16,139.49
1827,2,2,2.4,Ghaziabad,2,Unfurnished,0,6,6,51.41
1312,2,2,0.9,Vasant Vihar,0,Semi-Furnished,0,13,13,215.93
1298,2,1,3.5,Defence Colony,1,Furnished,0,2,8,183.46
526,3,3,5.6,Mayur Vihar,0,Furnished,1,7,16,27.16
